fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,unused3,unused4,unused5,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused6,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused7,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused8,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel
28,US,MS,,state,,iso1:us#iso2:us-ms,,2976149,0.307,other,46.7,,1.0,0.1,,,,,,0.75,3,3,3,4,1,,1,872265,12629,509135,2414147,200,8286,5213,443,,731,547,53,,1705,5986315,1798371,1563511,2022-07-28,https://covidactnow.org/us/mississippi-ms,0.604,0.525,20,3997511,3,612259,0.206,327.2,,,,,,,,,0.053,,440,,14.8,,2
30,US,MT,,state,,iso1:us#iso2:us-mt,,1068778,0.182,other,30.2,,0.88,0.1,,,,,,0.58,3,2,3,4,0,,0,294797,3467,265446,1823718,200,2660,1772,109,,219,126,8,,27,2148795,705710,614006,2022-07-28,https://covidactnow.org/us/montana-mt,0.66,0.574,0,1647783,3,302285,0.283,211.1,,,,,,,,,0.041,,178,,16.7,,2
37,US,NC,,state,,iso1:us#iso2:us-nc,,10488084,0.248,other,46.2,,1.21,0.1,,,,,,0.8,3,3,3,4,2,,1,2978650,25493,2645368,20950364,1215,21570,16852,1597,,2162,1733,157,,32883,,6988154,6545097,2022-07-28,https://covidactnow.org/us/north_carolina-nc,0.666,0.624,48,,3,3849078,0.367,323.5,,,,,,,,,0.074,,1117,,10.7,,2
38,US,ND,,state,,iso1:us#iso2:us-nd,,762062,0.131,other,33.3,,1.0,0.1,,,,,,0.49,3,2,3,4,1,,0,256244,2354,178997,2202634,500,1910,1472,82,,210,103,7,,356,1499800,506566,428558,2022-07-28,https://covidactnow.org/us/north_dakota-nd,0.665,0.562,3,1139221,3,190829,0.25,233.3,,,,,,,,,0.043,,79,,10.4,,2
31,US,NE,,state,,iso1:us#iso2:us-ne,,1934408,0.264,other,29.3,,1.03,0.1,,,,,,0.77,3,3,3,4,1,,1,514698,4366,385492,2432373,1000,4289,3135,219,,489,375,28,,633,4324310,1375249,1241910,2022-07-28,https://covidactnow.org/us/nebraska-ne,0.711,0.642,0,3320203,3,649966,0.336,204.9,,,,,,,,,0.051,,194,,10.0,,2
33,US,NH,,state,,iso1:us#iso2:us-nh,,1359711,0.107,other,17.3,,1.06,0.1,,,,,,0.75,2,2,2,4,1,,1,337834,2623,273784,3802235,140,2715,2219,82,,224,168,9,,282,,,,2022-07-28,https://covidactnow.org/us/new_hampshire-nh,,,0,,3,,,121.0,,,,,,,,,0.03,,98,,7.2,,0
34,US,NJ,,state,,iso1:us#iso2:us-nj,,8882190,0.134,other,42.1,,1.03,0.1,,,,,,0.44,3,2,3,4,1,,0,2582493,34253,2393918,25821691,3000,21589,15375,1113,,2895,1279,94,,4748,23731455,8151495,6809772,2022-07-28,https://covidactnow.org/us/new_jersey-nj,0.918,0.767,13,17871786,3,3361254,0.378,294.9,,,,,,,,,0.052,,1179,,13.3,,2
35,US,NM,,state,,iso1:us#iso2:us-nm,,2096829,0.174,other,45.9,,1.02,0.1,,,,,,0.8,3,2,3,4,1,,1,588805,8226,1189613,5491967,375,3686,2691,240,,369,297,23,,1149,4828045,1877996,1515040,2022-07-28,https://covidactnow.org/us/new_mexico-nm,0.896,0.723,17,4125432,3,785044,0.374,321.6,,,,,,,,,0.065,,246,,11.7,,2
32,US,NV,,state,,iso1:us#iso2:us-nv,,3080156,0.308,other,31.4,,0.73,0.1,,,,,,0.76,3,3,3,4,0,,1,825625,11221,991087,5305550,600,7527,5776,443,,768,582,64,,0,6386510,2355012,1897750,2022-07-28,https://covidactnow.org/us/nevada-nv,0.765,0.616,16,5071445,3,766678,0.249,219.8,,,,,,,,,0.059,,408,,13.2,,2
36,US,NY,,state,,iso1:us#iso2:us-ny,,19453561,0.132,other,36.6,,1.01,0.1,,,,,,0.72,3,2,3,4,1,,1,5785423,69522,5980220,86444944,9620,44325,35079,3137,,4529,3265,271,,6506,49215105,17788086,15177519,2022-07-28,https://covidactnow.org/us/new_york-ny,0.914,0.78,27,40595440,3,7114141,0.366,256.1,,,,,,,,,0.071,,2694,,13.8,,2
39,US,OH,,state,,iso1:us#iso2:us-oh,,11689100,0.194,other,32.5,,1.25,0.1,,,,,,0.71,3,2,3,4,2,,1,2918366,38981,2345018,20304407,1659,25851,20376,1506,,3689,2624,162,,26610,25038055,7482172,6892130,2022-07-28,https://covidactnow.org/us/ohio-oh,0.64,0.59,0,18531065,3,3715525,0.318,227.6,,,,,,,,,0.058,,1602,,13.7,,2
40,US,OK,,state,,iso1:us#iso2:us-ok,,3956971,0.278,other,44.5,,1.1,0.1,,,,,,0.77,3,3,3,4,1,,1,1116478,14555,909843,3421995,700,9385,6639,463,,988,759,87,,3767,7847330,2855404,2301672,2022-07-28,https://covidactnow.org/us/oklahoma-ok,0.722,0.582,0,6101375,3,895554,0.226,311.2,,,,,,,,,0.049,,628,,15.9,,2
41,US,OR,,state,,iso1:us#iso2:us-or,,4217737,0.111,other,29.6,,0.96,0.1,,,,,,0.77,3,2,3,4,1,,1,848046,8061,726426,8232319,656,6524,5165,515,,683,525,47,,1354,10995485,3327091,2969746,2022-07-28,https://covidactnow.org/us/oregon-or,0.789,0.704,18,8163981,3,1649435,0.391,207.5,,,,,,,,,0.079,,479,,11.4,,2
42,US,PA,,state,,iso1:us#iso2:us-pa,,12801989,0.159,other,24.9,,1.14,0.1,,,,,,0.75,2,2,2,4,2,,1,3080593,46164,2806614,24599551,1508,30644,23650,1687,,3365,2522,140,,8148,33221725,11100577,8945611,2022-07-28,https://covidactnow.org/us/pennsylvania-pa,0.867,0.699,46,24075849,3,3942586,0.308,174.0,,,,,,,,,0.055,,1606,,12.5,,1
72,US,PR,,state,,iso1:us#iso2:us-pr,,3193694,0.352,other,76.5,,0.94,0.1,,,,,,0.82,5,3,5,4,1,,2,874381,4741,373615,2724163,10,7566,5537,333,,587,484,30,,2465,7830450,3058906,2674541,2022-07-28,https://covidactnow.org/us/puerto_rico-pr,0.95,0.837,9,7411597,3,1606096,0.503,535.2,,249108132,,,,,,,0.044,,224,,7.0,,1
44,US,RI,,state,,iso1:us#iso2:us-ri,,1059361,0.114,other,24.9,,1.01,0.1,,,,,,0.88,2,2,2,4,1,,3,409731,3630,401436,6701489,200,2241,2027,52,,145,127,3,,279,2788125,1068168,891014,2022-07-28,https://covidactnow.org/us/rhode_island-ri,0.95,0.841,2,2317722,3,494784,0.467,174.2,,,,,,,,,0.023,,54,,5.1,,0
45,US,SC,,state,,iso1:us#iso2:us-sc,,5148714,0.259,other,49.0,,1.19,0.1,,,,,,0.7,3,3,3,4,2,,0,1605165,18192,1575177,11615891,775,10445,8227,607,,1276,897,73,,17662,11395375,3539581,2979372,2022-07-28,https://covidactnow.org/us/south_carolina-sc,0.687,0.579,0,7806911,3,1251653,0.243,343.0,,,,,,,,,0.058,,755,,14.7,,2
46,US,SD,,state,,iso1:us#iso2:us-sd,,884659,0.233,other,24.2,,1.15,0.1,,,,,,0.53,3,3,2,4,2,,0,250286,2956,164305,985398,350,2185,1383,83,,241,128,8,,1498,2050565,690656,555725,2022-07-28,https://covidactnow.org/us/south_dakota-sd,0.781,0.628,9,1474682,3,240808,0.272,169.3,,,,,,,,,0.038,,120,,13.6,,1
47,US,TN,,state,,iso1:us#iso2:us-tn,,6829174,0.285,other,40.7,,1.04,0.1,,,,,,0.66,3,3,3,4,1,,0,2138559,26686,1470996,9653591,1226,18375,13438,943,,2395,1587,131,,2553,13876330,4297045,3760378,2022-07-28,https://covidactnow.org/us/tennessee-tn,0.629,0.551,7,10304782,3,1720805,0.252,284.8,,,,,,,,,0.051,,897,,13.1,,2
48,US,TX,,state,,iso1:us#iso2:us-tx,,28995881,,other,39.8,,1.0,0.1,,,,,,0.83,3,4,3,4,1,,2,7376405,89377,7339130,44859078,3722,57193,43648,4002,,6154,5079,543,,11076,66253035,21684972,18131575,2022-07-28,https://covidactnow.org/us/texas-tx,0.748,0.625,31,48669565,3,7318075,0.252,278.5,,,,,,,,,0.07,,4660,,16.1,,2
49,US,UT,,state,,iso1:us#iso2:us-ut,,3205958,0.288,other,30.6,,1.14,0.1,,,,,,0.75,3,3,3,4,2,,1,1004684,4884,1037469,6454329,1200,5514,3421,240,,428,323,31,,6876,6769150,2344851,2083255,2022-07-28,https://covidactnow.org/us/utah-ut,0.731,0.65,0,5418676,3,969458,0.302,214.5,,,,,,,,,0.044,,343,,10.7,,2
51,US,VA,,state,,iso1:us#iso2:us-va,,8535519,0.227,other,36.4,,1.04,0.1,,,,,,0.67,3,3,3,4,1,,0,1947686,20889,2064464,13535191,1547,16451,11914,871,,1790,1198,98,,3561,21250985,7443674,6319743,2022-07-28,https://covidactnow.org/us/virginia-va,0.872,0.74,12,17127360,3,3186887,0.373,255.1,,,,,,,,,0.053,,887,,10.4,,2
50,US,VT,,state,,iso1:us#iso2:us-vt,,623989,0.042,other,8.8,,1.05,0.17,,,,,,0.8,1,1,1,4,1,,1,137649,693,174541,3830638,53,1280,998,34,,99,79,6,,385,1955890,594050,512793,2022-07-28,https://covidactnow.org/us/vermont-vt,0.95,0.822,4,1479555,2,321266,0.515,61.7,,,,,,,,,0.027,,52,,8.3,,0
53,US,WA,,state,,iso1:us#iso2:us-wa,,7614893,0.155,other,30.0,,0.97,0.1,,,,,,0.81,3,2,3,4,1,,2,1729949,13643,1422534,15320295,2122,10836,9091,845,,1126,914,84,,3750,19433895,6256954,5572275,2022-07-28,https://covidactnow.org/us/washington-wa,0.822,0.732,43,15157152,3,3070469,0.403,210.1,,,,,,,,,0.078,,716,,9.4,,1
55,US,WI,,state,,iso1:us#iso2:us-wi,,5822434,0.149,other,34.5,,1.09,0.1,,,,,,0.72,3,2,3,4,1,,1,1772498,14912,1716343,15745972,600,11650,8346,542,,1241,889,74,,2549,12628245,4233968,3858313,2022-07-28,https://covidactnow.org/us/wisconsin-wi,0.727,0.663,12,10744653,3,2230266,0.383,241.6,,,,,,,,,0.047,,714,,12.3,,2
54,US,WV,,state,,iso1:us#iso2:us-wv,,1792147,0.144,other,49.8,,1.09,0.1,,,,,,0.74,3,2,3,4,1,,1,553018,7129,548676,4853149,248,5726,4680,387,,601,447,52,,1097,4422845,1178964,1044301,2022-07-28,https://covidactnow.org/us/west_virginia-wv,0.658,0.583,0,2818651,3,491403,0.274,348.5,,,,,,,,,0.068,,369,,20.6,,2
56,US,WY,,state,,iso1:us#iso2:us-wy,,578759,0.142,other,33.4,,1.09,0.1,,,,,,0.35,3,2,3,4,1,,0,170031,1856,127327,1344614,50,1567,660,32,,112,39,2,,1353,1061485,340904,298235,2022-07-28,https://covidactnow.org/us/wyoming-wy,0.589,0.515,0,768328,3,133477,0.231,233.8,,,,,,,,,0.02,,76,,13.1,,2
