fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel
36140,US,,,cbsa,,iso1:us#cbsa:36140,,92039,0.118,other,34.0,,0.95,0.25,,,0.48,3,2,3,4,1,,0,25581,313,,,,125,100,4,,16,7,0,,29,,81454,69368,2022-07-28,,0.885,0.754,0,130713,3,33960,0.369,237.9,,,902,643,53,84,55,2,0.057,,10,100,29.2,,2
36220,US,,,cbsa,,iso1:us#cbsa:36220,,166223,,other,38.0,,1.12,0.2,,,0.66,3,4,3,4,2,,0,39340,710,,,,439,314,12,,50,32,2,,60,,85230,72241,2022-07-28,,0.513,0.435,0,176503,3,23803,0.143,265.9,,,615,358,13,53,32,2,0.023,,20,20,7.7,,1
36260,US,,,cbsa,,iso1:us#cbsa:36260,,683864,0.304,other,31.0,,1.08,0.1,,,,3,3,3,4,1,,4,204403,1006,,,,899,589,33,,,,,,1014,,483158,438023,2022-07-28,,0.707,0.641,0,,3,202972,0.297,217.3,,,3599,2358,110,198,158,13,0.033,,64,212,9.2,,1
36300,US,,,cbsa,,iso1:us#cbsa:36300,,107740,0.102,other,16.2,,1.07,0.43,,,0.7,2,2,2,4,1,,0,23523,198,,,,205,141,7,,20,14,0,,18,,70281,66294,2022-07-28,,0.652,0.615,0,,3,38861,0.361,113.2,,,442,290,8,34,19,0,0.021,,12,24,8.6,,0
36340,US,,,cbsa,,iso1:us#cbsa:36340,,50668,0.116,other,22.6,,1.1,0.53,,,0.52,2,2,2,4,1,,0,12109,249,,,,151,79,4,,8,4,0,,80,,27245,23738,2022-07-28,,0.538,0.469,0,,3,11419,0.225,157.9,,,189,99,6,15,6,0,0.031,,10,10,13.5,,1
36380,US,,,cbsa,,iso1:us#cbsa:36380,,42168,0.169,other,37.1,,0.78,0.36,,,0.68,3,2,3,4,0,,0,11267,186,,,,100,41,11,,8,5,1,,0,,23181,19801,2022-07-28,,0.55,0.47,0,,3,6745,0.16,259.7,,,4607,3629,341,531,347,35,0.075,,17,504,24.3,,2
36420,US,,,cbsa,,iso1:us#cbsa:36420,,1408950,0.272,other,38.1,,1.19,0.1,,,,3,3,3,4,2,,4,386854,4425,,,,3545,2728,222,,,,,,3762,,1072930,854193,2022-07-28,,0.762,0.606,0,,3,337836,0.24,267.0,,,13524,10573,558,1480,1096,55,0.039,,422,650,11.9,,2
36460,US,,,cbsa,,iso1:us#cbsa:36460,,76117,0.115,other,12.4,,0.91,0.57,,,0.4,2,2,2,4,1,,0,17089,226,,,,136,80,4,,14,5,1,,10,,48022,43373,2022-07-28,,0.631,0.57,0,,3,22965,0.302,86.7,,,251,124,7,31,12,0,0.021,,8,12,8.2,,0
36500,US,,,cbsa,,iso1:us#cbsa:36500,,290536,0.16,other,26.1,,0.98,0.16,,,0.88,3,2,3,4,1,,3,56353,448,,,,448,420,42,,74,65,7,,121,,228799,202939,2022-07-28,,0.788,0.698,4,,3,112828,0.388,182.4,,,664,584,64,93,81,9,0.098,,37,62,12.1,,1
36540,US,,,cbsa,,iso1:us#cbsa:36540,,949442,,other,30.3,,1.08,0.1,,,,3,4,3,4,1,,4,265291,2013,,,,2236,1881,403,,,,,,579,,690564,621271,2022-07-28,,0.727,0.654,1,,3,334799,0.353,212.3,,,11366,9426,582,1384,1158,50,0.052,,162,437,8.2,,1
36580,US,,,cbsa,,iso1:us#cbsa:36580,,59493,0.089,other,16.6,,0.91,0.52,,,0.88,2,1,2,4,1,,3,11607,96,,,,217,146,5,,14,12,0,,9,,40219,37190,2022-07-28,,0.676,0.625,0,,3,23214,0.39,116.0,,,299,185,6,19,13,0,0.026,,6,6,5.5,,0
36620,US,,,cbsa,,iso1:us#cbsa:36620,,54522,0.181,other,36.4,,1.06,0.35,,,,3,2,3,4,1,,4,14688,196,,,,,,,,,,,,50,,26135,22715,2022-07-28,,0.479,0.417,0,,3,8913,0.163,254.9,,,90,32,13,6,2,1,0.141,,,48,33.3,,2
36660,US,,,cbsa,,iso1:us#cbsa:36660,,82124,0.246,other,50.6,,1.0,0.22,,,0.36,3,3,3,4,1,,0,24429,417,,,,162,90,8,,22,7,0,,70,,39304,34816,2022-07-28,,0.479,0.424,0,,3,15154,0.185,354.3,,,229,128,10,32,13,0,0.042,,9,20,16.4,,2
36700,US,,,cbsa,,iso1:us#cbsa:36700,,86175,0.318,other,54.0,,1.19,0.23,,,0.65,3,3,3,4,2,,0,25605,426,,,,161,112,12,,19,12,6,,0,,56132,48921,2022-07-28,,0.651,0.568,0,,3,20867,0.242,378.3,,,186,114,12,19,12,6,0.061,,12,12,11.3,,2
36740,US,,,cbsa,,iso1:us#cbsa:36740,,2608147,0.281,other,42.7,,1.2,0.1,,,0.76,3,3,3,4,2,,1,766236,6799,,,,6181,5377,465,,620,470,32,,15589,,2128114,1800841,2022-07-28,,0.816,0.69,0,,3,731069,0.28,298.9,,,23559,19428,1788,2547,1787,166,0.077,,541,1896,21.0,,2
36780,US,,,cbsa,,iso1:us#cbsa:36780,,171907,0.157,other,31.4,,1.08,0.21,,,0.75,3,2,3,4,1,,1,56596,396,,,,175,145,3,,21,16,0,,58,,115116,106806,2022-07-28,,0.67,0.621,0,,3,64427,0.375,219.9,,,369,304,17,45,31,1,0.045,,8,22,6.1,,1
36820,US,,,cbsa,,iso1:us#cbsa:36820,,22095,,other,27.2,,1.04,0.69,,,,3,4,3,4,1,,4,5221,90,,,,24,19,2,,0,0,0,,42,,10715,9908,2022-07-28,,0.485,0.448,0,15043,3,5404,0.245,190.1,,,172,78,5,12,4,1,0.026,,4,10,8.0,,0
36830,US,,,cbsa,,iso1:us#cbsa:36830,,19983,0.244,other,54.3,,0.94,0.55,,,,3,3,3,4,1,,4,5286,39,,,,31,9,0,,,,,,19,,13464,12194,2022-07-28,,0.674,0.61,0,,3,4841,0.242,380.3,,,1078,921,69,83,69,4,0.066,,4,61,11.6,,2
